school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,target
0.0,0.0,18.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,,1.0,1.0,3.0,,0
,,17.0,,,,1.0,1.0,0.0,1.0,0.0,,1.0,2.0,0.0,,,,,1.0,0.0,,0.0,,3.0,,1.0,1.0,3.0,2.0,9
,,15.0,,,,1.0,1.0,0.0,1.0,1.0,,1.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,3.0,2.0,2.0,3.0,3.0,,12
,,15.0,,,,4.0,2.0,1.0,2.0,2.0,,1.0,3.0,0.0,,,,,0.0,0.0,,1.0,3.0,2.0,2.0,1.0,1.0,5.0,0.0,14
,,16.0,,,,3.0,3.0,,1.0,2.0,,1.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,,3.0,2.0,1.0,2.0,5.0,0.0,11
,,16.0,,,,4.0,3.0,,1.0,3.0,,1.0,2.0,0.0,,,,,0.0,0.0,,0.0,,4.0,2.0,1.0,2.0,5.0,,12
,,16.0,,,,2.0,2.0,,1.0,2.0,,1.0,2.0,0.0,,0.0,,,0.0,0.0,,0.0,,4.0,,1.0,1.0,3.0,0.0,13
,,17.0,,,0.0,4.0,4.0,,0.0,2.0,,2.0,2.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,1.0,,1.0,1.0,1.0,,10
,,15.0,,,0.0,3.0,2.0,,1.0,2.0,,1.0,2.0,0.0,,,,,0.0,0.0,,0.0,,2.0,2.0,1.0,1.0,1.0,0.0,15
,,15.0,,,,3.0,4.0,,1.0,2.0,,1.0,2.0,0.0,,,,,0.0,0.0,,0.0,,5.0,1.0,1.0,1.0,5.0,0.0,12
,,15.0,,,,4.0,4.0,,3.0,3.0,,1.0,2.0,0.0,,,,,0.0,0.0,,0.0,3.0,3.0,,1.0,2.0,2.0,,14
,,15.0,,,,2.0,1.0,,1.0,3.0,,3.0,3.0,0.0,,,,,0.0,0.0,,0.0,,2.0,2.0,1.0,1.0,4.0,0.0,10
,,15.0,,,,4.0,4.0,1.0,2.0,0.0,,1.0,1.0,0.0,,,,,0.0,0.0,,0.0,,3.0,,1.0,3.0,5.0,0.0,12
,,15.0,,,,4.0,3.0,,1.0,0.0,,2.0,2.0,0.0,,,,,0.0,0.0,,0.0,,4.0,,1.0,2.0,3.0,0.0,12
,,15.0,,,0.0,2.0,2.0,,1.0,2.0,,1.0,3.0,0.0,,,,,0.0,0.0,,1.0,,5.0,2.0,1.0,1.0,3.0,0.0,14
,,16.0,,,,4.0,4.0,1.0,1.0,2.0,,1.0,1.0,0.0,,,,,0.0,0.0,,0.0,,4.0,,1.0,2.0,2.0,,17
,,16.0,,,,4.0,4.0,,2.0,3.0,,1.0,3.0,0.0,,,,,0.0,0.0,,0.0,3.0,2.0,,1.0,2.0,2.0,,13
,,16.0,,,,3.0,3.0,,1.0,3.0,,3.0,2.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,3.0,2.0,1.0,1.0,4.0,,13
,,17.0,,,,3.0,2.0,,2.0,0.0,,1.0,1.0,3.0,,,,,0.0,0.0,,0.0,,5.0,,2.0,4.0,5.0,,8
,,16.0,,,,4.0,3.0,1.0,1.0,2.0,,1.0,1.0,0.0,,0.0,,,0.0,0.0,,0.0,3.0,1.0,,1.0,3.0,5.0,,12
,,15.0,,,,4.0,3.0,,1.0,3.0,,1.0,2.0,0.0,,0.0,,,0.0,0.0,,0.0,,4.0,1.0,1.0,1.0,1.0,0.0,12
,,15.0,,,,4.0,4.0,1.0,3.0,1.0,,1.0,1.0,0.0,,,,,0.0,0.0,,0.0,,4.0,2.0,1.0,1.0,5.0,0.0,11
,,16.0,,,,4.0,2.0,,1.0,0.0,,1.0,2.0,0.0,,0.0,,,0.0,0.0,,0.0,,5.0,1.0,1.0,3.0,5.0,0.0,12
,,16.0,,,,2.0,2.0,,1.0,3.0,,2.0,2.0,0.0,,,,,0.0,0.0,,0.0,,4.0,,2.0,4.0,5.0,,10
,,15.0,,,,2.0,4.0,,3.0,0.0,,1.0,3.0,0.0,0.0,,,,0.0,0.0,,0.0,,3.0,2.0,1.0,1.0,5.0,,10
,,16.0,,,,2.0,2.0,,2.0,2.0,,1.0,1.0,0.0,,,,,1.0,0.0,,0.0,1.0,2.0,2.0,1.0,3.0,5.0,,10
,,15.0,,,,2.0,2.0,,1.0,2.0,,1.0,1.0,0.0,,,,,0.0,0.0,,0.0,,2.0,2.0,1.0,2.0,5.0,,11
,,15.0,,,,4.0,2.0,1.0,2.0,1.0,,1.0,1.0,0.0,,0.0,,,0.0,0.0,,0.0,2.0,2.0,,2.0,4.0,1.0,0.0,11
,,16.0,,,0.0,3.0,4.0,,1.0,2.0,,1.0,2.0,0.0,0.0,,,,0.0,0.0,,0.0,,3.0,,1.0,1.0,5.0,,12
,,16.0,,,,4.0,4.0,,0.0,2.0,,1.0,2.0,0.0,,,,,0.0,0.0,,1.0,,4.0,,5.0,5.0,5.0,,12
,,15.0,,,,4.0,4.0,1.0,2.0,2.0,,1.0,2.0,0.0,,,,,1.0,0.0,,0.0,,4.0,2.0,3.0,4.0,5.0,0.0,10
,,15.0,0.0,,,4.0,4.0,,2.0,3.0,,2.0,2.0,0.0,,,,,0.0,0.0,,0.0,,3.0,1.0,1.0,1.0,5.0,,15
,,15.0,,,,4.0,3.0,,4.0,0.0,,1.0,2.0,0.0,,,,,0.0,0.0,,1.0,,5.0,2.0,1.0,1.0,5.0,0.0,13
,,15.0,,,,3.0,3.0,2.0,1.0,0.0,,1.0,2.0,0.0,,0.0,,,1.0,0.0,,0.0,,3.0,2.0,1.0,1.0,2.0,0.0,13
,,16.0,,,,3.0,2.0,2.0,1.0,2.0,,1.0,1.0,0.0,,,,,1.0,0.0,,0.0,,4.0,,1.0,1.0,5.0,,12
,,15.0,,,,2.0,3.0,2.0,1.0,1.0,,2.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,3.0,5.0,1.0,1.0,1.0,5.0,,11
,,15.0,,,,4.0,3.0,,2.0,2.0,,1.0,3.0,0.0,,,,,0.0,0.0,,0.0,,4.0,,1.0,1.0,4.0,0.0,14
,,16.0,,,0.0,4.0,4.0,2.0,0.0,3.0,,2.0,3.0,0.0,,,,,0.0,0.0,,1.0,2.0,4.0,,1.0,1.0,5.0,,13
,0.0,15.0,,,,3.0,4.0,,3.0,0.0,,1.0,3.0,0.0,0.0,,,,0.0,0.0,,0.0,,3.0,2.0,1.0,1.0,5.0,,11
,0.0,15.0,,,,2.0,2.0,0.0,1.0,3.0,,1.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,3.0,1.0,1.0,1.0,2.0,,14
,0.0,16.0,,,,2.0,2.0,,1.0,2.0,,2.0,2.0,0.0,,,,,1.0,0.0,,1.0,3.0,3.0,,1.0,2.0,3.0,,11
,,15.0,,,,4.0,4.0,,1.0,2.0,,1.0,1.0,0.0,,,,,1.0,0.0,,1.0,,4.0,,2.0,4.0,5.0,,10
,,15.0,,,,4.0,4.0,,0.0,0.0,,1.0,2.0,0.0,,,,,0.0,0.0,,0.0,,3.0,,1.0,1.0,5.0,0.0,14
,,15.0,,,,2.0,2.0,,2.0,0.0,,1.0,1.0,0.0,0.0,,,,0.0,0.0,,0.0,,4.0,1.0,1.0,1.0,1.0,0.0,9
,,16.0,,,,2.0,2.0,,4.0,0.0,,2.0,2.0,1.0,0.0,0.0,,,0.0,0.0,,0.0,,3.0,,2.0,2.0,5.0,,10
,,15.0,,,0.0,4.0,3.0,2.0,1.0,0.0,,1.0,2.0,0.0,0.0,,,,0.0,0.0,,1.0,,2.0,2.0,1.0,1.0,5.0,,10
,,16.0,,,0.0,3.0,3.0,2.0,2.0,2.0,,1.0,2.0,0.0,,,,0.0,0.0,0.0,,0.0,2.0,3.0,,1.0,4.0,3.0,,13
,,16.0,,,,4.0,3.0,1.0,2.0,3.0,,1.0,4.0,0.0,,0.0,,,0.0,0.0,,0.0,,2.0,2.0,1.0,1.0,2.0,,17
,,15.0,,,,4.0,2.0,,1.0,2.0,,1.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,3.0,,2.0,2.0,5.0,,11
,,15.0,,,,4.0,4.0,,0.0,1.0,,1.0,2.0,0.0,0.0,,,,1.0,0.0,,0.0,,4.0,,1.0,1.0,3.0,,13
,,16.0,,,,2.0,2.0,,2.0,0.0,,3.0,2.0,0.0,,,,,0.0,0.0,,0.0,,3.0,,2.0,3.0,4.0,0.0,14
,,15.0,,,,4.0,2.0,1.0,1.0,1.0,,1.0,2.0,0.0,,,,0.0,0.0,0.0,,0.0,,3.0,,1.0,1.0,5.0,0.0,16
,,15.0,,,0.0,4.0,2.0,1.0,3.0,1.0,,2.0,1.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,5.0,,3.0,4.0,5.0,,10
,,15.0,,,,4.0,4.0,,2.0,0.0,,1.0,1.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,3.0,3.0,,2.0,3.0,5.0,0.0,13
0.0,,15.0,,,0.0,3.0,3.0,2.0,1.0,1.0,,1.0,1.0,0.0,,0.0,,,0.0,0.0,,0.0,,3.0,,4.0,4.0,1.0,0.0,13
0.0,,16.0,,,0.0,2.0,1.0,2.0,1.0,1.0,,1.0,2.0,0.0,,0.0,,,0.0,0.0,,1.0,,3.0,,1.0,1.0,2.0,,12
0.0,,15.0,,,0.0,4.0,3.0,,2.0,3.0,,1.0,2.0,0.0,,,,,0.0,0.0,,0.0,,3.0,2.0,1.0,1.0,1.0,0.0,15
0.0,,15.0,,,,4.0,4.0,,3.0,3.0,,1.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,5.0,,15
0.0,,15.0,,,,1.0,2.0,,4.0,2.0,,1.0,2.0,0.0,0.0,,,,0.0,0.0,,0.0,,3.0,2.0,1.0,1.0,5.0,0.0,14
0.0,,16.0,,,,4.0,2.0,,1.0,0.0,,1.0,2.0,0.0,,,,0.0,0.0,0.0,,0.0,,2.0,,1.0,1.0,5.0,,16
0.0,,16.0,,,,4.0,4.0,1.0,0.0,1.0,,1.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,2.0,4.0,,2.0,3.0,4.0,0.0,17
0.0,,16.0,,,,1.0,1.0,,2.0,0.0,,4.0,1.0,0.0,0.0,,,,1.0,0.0,,1.0,,5.0,,5.0,5.0,5.0,0.0,10
0.0,,16.0,,,,1.0,2.0,,2.0,3.0,,1.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,4.0,,1.0,1.0,1.0,0.0,13
0.0,,16.0,,,,4.0,3.0,,3.0,2.0,,1.0,3.0,0.0,0.0,1.0,,,0.0,0.0,,0.0,3.0,4.0,,2.0,4.0,4.0,0.0,14
0.0,,15.0,,,,4.0,3.0,,2.0,3.0,,1.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,,4.0,,2.0,4.0,2.0,0.0,13
0.0,0.0,16.0,,,,4.0,3.0,,2.0,0.0,,3.0,2.0,0.0,,1.0,,,0.0,0.0,,0.0,,4.0,,1.0,2.0,1.0,,16
0.0,,15.0,,,0.0,4.0,4.0,,2.0,3.0,,1.0,4.0,0.0,,1.0,,,1.0,0.0,,1.0,1.0,3.0,,5.0,5.0,3.0,0.0,11
0.0,,16.0,,,,3.0,1.0,,1.0,0.0,,1.0,4.0,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,,3.0,,1.0,2.0,5.0,0.0,10
0.0,,15.0,,,,2.0,2.0,1.0,2.0,3.0,,2.0,2.0,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,,1.0,,1.0,3.0,4.0,0.0,11
0.0,,15.0,,,,3.0,1.0,2.0,1.0,3.0,,2.0,4.0,0.0,,,,0.0,1.0,0.0,,0.0,,4.0,2.0,2.0,3.0,3.0,,15
0.0,,16.0,,,,3.0,1.0,2.0,1.0,3.0,,2.0,4.0,0.0,,,,0.0,0.0,0.0,,0.0,,3.0,2.0,1.0,1.0,5.0,,13
0.0,,15.0,,,,4.0,2.0,2.0,1.0,0.0,,1.0,4.0,0.0,,0.0,,,0.0,0.0,,0.0,3.0,3.0,,1.0,1.0,3.0,0.0,11
0.0,,15.0,,,,1.0,1.0,2.0,1.0,3.0,,1.0,2.0,0.0,0.0,,,,1.0,0.0,,1.0,3.0,3.0,,2.0,4.0,5.0,,13
0.0,,16.0,,,,3.0,1.0,2.0,1.0,3.0,,1.0,1.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,3.0,2.0,2.0,2.0,5.0,0.0,13
0.0,,16.0,,,,3.0,3.0,2.0,2.0,2.0,,1.0,2.0,0.0,0.0,,,,0.0,0.0,,0.0,,3.0,,2.0,4.0,5.0,,11
0.0,,15.0,,,,4.0,3.0,,1.0,2.0,,1.0,2.0,0.0,,,,,0.0,0.0,,0.0,,3.0,,2.0,3.0,5.0,0.0,11
0.0,,15.0,,,,4.0,0.0,,1.0,0.0,,2.0,4.0,0.0,,0.0,,,0.0,0.0,,0.0,3.0,4.0,,1.0,1.0,1.0,0.0,12
0.0,,16.0,,,,2.0,2.0,,1.0,3.0,,1.0,4.0,0.0,,0.0,,,0.0,0.0,,1.0,,2.0,,1.0,3.0,3.0,1.0,13
0.0,,17.0,,,,2.0,1.0,,1.0,2.0,,2.0,1.0,3.0,0.0,,,,0.0,1.0,,0.0,,5.0,1.0,1.0,1.0,3.0,0.0,9
0.0,,16.0,,,,3.0,4.0,0.0,1.0,0.0,,1.0,2.0,0.0,,,,,0.0,0.0,,0.0,2.0,4.0,,1.0,2.0,3.0,,12
,,15.0,,,,2.0,3.0,,2.0,0.0,,1.0,1.0,0.0,0.0,,,,1.0,0.0,,1.0,3.0,2.0,2.0,1.0,3.0,3.0,0.0,11
,,15.0,,,,2.0,3.0,,1.0,2.0,,1.0,3.0,0.0,0.0,0.0,,,1.0,0.0,,0.0,,3.0,2.0,1.0,2.0,5.0,,10
0.0,,15.0,,,,3.0,2.0,,1.0,3.0,,1.0,2.0,0.0,,,,,0.0,0.0,,0.0,,4.0,,1.0,1.0,5.0,,12
0.0,,15.0,,,,2.0,2.0,,2.0,2.0,,2.0,2.0,0.0,,0.0,,,0.0,0.0,,0.0,,3.0,,1.0,3.0,4.0,,13
0.0,,15.0,,,,1.0,1.0,2.0,1.0,2.0,,1.0,2.0,0.0,,,,,1.0,0.0,,0.0,,3.0,2.0,2.0,3.0,4.0,,13
0.0,,15.0,,,,4.0,4.0,,2.0,3.0,,2.0,2.0,0.0,,0.0,,,0.0,0.0,,1.0,,4.0,,2.0,3.0,5.0,,12
0.0,,16.0,,,,2.0,2.0,0.0,1.0,0.0,,1.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,,3.0,,1.0,2.0,2.0,,13
0.0,,15.0,,,,4.0,2.0,2.0,1.0,3.0,,1.0,3.0,0.0,,,,,0.0,0.0,,0.0,,3.0,,1.0,3.0,1.0,,15
0.0,,16.0,,,,2.0,2.0,,1.0,3.0,,2.0,2.0,0.0,,0.0,,,1.0,0.0,,0.0,,4.0,2.0,1.0,1.0,3.0,,12
0.0,,16.0,,,0.0,4.0,4.0,,3.0,3.0,,1.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,,1.0,,3.0,5.0,5.0,,9
0.0,0.0,16.0,,,,3.0,3.0,2.0,1.0,2.0,,1.0,3.0,0.0,,,,,0.0,0.0,,1.0,,3.0,,1.0,3.0,4.0,,9
0.0,0.0,15.0,,,,4.0,3.0,,1.0,3.0,,1.0,1.0,0.0,,0.0,,,0.0,0.0,,0.0,,5.0,,1.0,3.0,1.0,,14
0.0,0.0,16.0,,,,3.0,1.0,,1.0,2.0,,1.0,2.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,3.0,3.0,,2.0,3.0,2.0,0.0,12
0.0,0.0,16.0,,,,4.0,2.0,,2.0,2.0,,2.0,2.0,0.0,,,,,0.0,0.0,,0.0,,3.0,,1.0,1.0,1.0,,13
0.0,,15.0,,,,2.0,2.0,,3.0,3.0,,1.0,4.0,0.0,,,,,0.0,0.0,,0.0,,3.0,,1.0,1.0,4.0,,11
0.0,0.0,15.0,,,,1.0,1.0,0.0,1.0,2.0,,2.0,4.0,0.0,0.0,,,,0.0,0.0,,0.0,3.0,1.0,2.0,1.0,1.0,1.0,,13
0.0,,16.0,,,,4.0,3.0,,1.0,3.0,,2.0,1.0,0.0,0.0,,,,1.0,0.0,,0.0,3.0,3.0,,1.0,1.0,4.0,,9
0.0,0.0,16.0,,,,2.0,1.0,,1.0,0.0,,1.0,2.0,0.0,,,,,0.0,0.0,0.0,1.0,,3.0,,1.0,1.0,5.0,0.0,13
0.0,0.0,16.0,,,,4.0,4.0,,1.0,3.0,,1.0,1.0,0.0,,0.0,,,1.0,0.0,,0.0,,3.0,,1.0,2.0,1.0,,12
0.0,0.0,16.0,,,,4.0,3.0,,4.0,0.0,,1.0,3.0,0.0,0.0,,,,0.0,0.0,,0.0,,3.0,,1.0,1.0,3.0,,12
0.0,,16.0,,,,4.0,4.0,,2.0,1.0,,1.0,1.0,0.0,0.0,,,,0.0,0.0,,0.0,,5.0,,5.0,5.0,4.0,,9
0.0,,16.0,,,,4.0,4.0,,0.0,1.0,,1.0,3.0,0.0,,,,,0.0,0.0,,1.0,,4.0,,1.0,1.0,4.0,0.0,16
0.0,,15.0,,,,4.0,4.0,,1.0,0.0,,1.0,1.0,0.0,,,,,1.0,0.0,,0.0,,3.0,,1.0,1.0,5.0,,12
,0.0,15.0,,,,3.0,2.0,,1.0,2.0,,2.0,2.0,0.0,0.0,,,,0.0,0.0,,0.0,,3.0,,1.0,1.0,2.0,,11
,,15.0,,,0.0,3.0,4.0,,1.0,0.0,,1.0,2.0,0.0,,,,,0.0,0.0,,0.0,,4.0,,1.0,1.0,1.0,0.0,16
,0.0,15.0,,,0.0,3.0,3.0,,3.0,3.0,,1.0,4.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,3.0,,1.0,1.0,4.0,,10
,0.0,15.0,,,,2.0,2.0,,1.0,0.0,,1.0,4.0,0.0,0.0,,,,0.0,0.0,,0.0,,1.0,2.0,1.0,1.0,3.0,,10
,,16.0,,,,3.0,3.0,,1.0,2.0,,1.0,3.0,0.0,,,,,0.0,0.0,,0.0,,3.0,,1.0,1.0,5.0,,13
,,15.0,,,,4.0,4.0,,1.0,2.0,,4.0,4.0,0.0,,,,,0.0,0.0,,1.0,1.0,3.0,,3.0,5.0,1.0,,12
,0.0,16.0,,,,4.0,4.0,1.0,3.0,1.0,,1.0,3.0,0.0,,,,,0.0,0.0,,1.0,,4.0,,1.0,1.0,4.0,,15
,,15.0,,,0.0,4.0,4.0,,0.0,0.0,,1.0,1.0,0.0,,0.0,,,0.0,0.0,,0.0,,5.0,,1.0,1.0,4.0,,13
,0.0,16.0,,,,3.0,3.0,,1.0,3.0,,1.0,3.0,0.0,0.0,,,,0.0,0.0,,0.0,,1.0,2.0,1.0,1.0,2.0,,11
,0.0,16.0,,,,2.0,2.0,0.0,1.0,2.0,,1.0,2.0,1.0,0.0,0.0,,,0.0,0.0,,0.0,3.0,1.0,2.0,1.0,1.0,5.0,,8
,,15.0,,,,4.0,2.0,,1.0,0.0,,1.0,1.0,0.0,,0.0,,,0.0,0.0,,0.0,3.0,5.0,2.0,1.0,1.0,3.0,,18
,,15.0,,,,2.0,1.0,1.0,2.0,3.0,,1.0,2.0,0.0,,0.0,,,0.0,0.0,,1.0,,4.0,2.0,1.0,1.0,5.0,,10
,,16.0,,,,4.0,4.0,,0.0,0.0,,1.0,2.0,0.0,,,,,0.0,0.0,,0.0,,4.0,,1.0,2.0,5.0,,16
,,15.0,0.0,,,4.0,4.0,,0.0,3.0,,2.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,,4.0,,1.0,1.0,2.0,,16
,,16.0,0.0,,,3.0,3.0,,2.0,2.0,,2.0,1.0,0.0,,0.0,,,0.0,0.0,,0.0,,4.0,2.0,1.0,1.0,5.0,,14
,,17.0,,,,1.0,3.0,,1.0,0.0,,3.0,2.0,1.0,,,,,0.0,0.0,,0.0,,2.0,,1.0,4.0,5.0,,12
,,15.0,0.0,,,3.0,4.0,,1.0,3.0,,1.0,1.0,0.0,,0.0,,,0.0,0.0,,0.0,3.0,4.0,,1.0,2.0,4.0,,14
,0.0,15.0,0.0,,,1.0,2.0,0.0,2.0,0.0,,1.0,2.0,0.0,,0.0,,,1.0,0.0,,0.0,3.0,2.0,,1.0,2.0,1.0,0.0,14
,,15.0,0.0,,,2.0,2.0,,2.0,2.0,,1.0,4.0,0.0,,,,,0.0,0.0,,0.0,,5.0,,1.0,2.0,5.0,,14
,0.0,16.0,0.0,,,2.0,4.0,,3.0,0.0,,2.0,2.0,0.0,,,,,0.0,0.0,,1.0,,2.0,2.0,1.0,2.0,5.0,,14
,,16.0,0.0,,,4.0,4.0,1.0,1.0,0.0,,1.0,1.0,0.0,,,,,0.0,0.0,,0.0,3.0,4.0,,1.0,4.0,5.0,,12
,0.0,16.0,0.0,,,2.0,2.0,,1.0,2.0,,1.0,2.0,0.0,,0.0,,,0.0,0.0,,1.0,,4.0,,1.0,1.0,5.0,0.0,12
,,15.0,0.0,,,3.0,4.0,,2.0,2.0,,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,5.0,,3.0,2.0,5.0,,9
,0.0,15.0,0.0,,0.0,3.0,4.0,,1.0,2.0,,1.0,2.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,,3.0,2.0,1.0,1.0,1.0,0.0,10
,0.0,19.0,0.0,,,0.0,1.0,0.0,1.0,0.0,,1.0,2.0,2.0,,,,,1.0,1.0,0.0,0.0,3.0,4.0,2.0,1.0,1.0,5.0,0.0,9
,,16.0,,,,4.0,4.0,,0.0,0.0,,1.0,1.0,0.0,,0.0,,,0.0,0.0,,0.0,3.0,5.0,,2.0,5.0,4.0,,14
,,16.0,,,,2.0,3.0,,1.0,0.0,,2.0,3.0,0.0,,,,,1.0,0.0,,1.0,3.0,2.0,,2.0,2.0,1.0,,13
,0.0,15.0,,,,3.0,4.0,,0.0,0.0,,2.0,3.0,0.0,,,,,0.0,0.0,,1.0,,2.0,2.0,2.0,2.0,5.0,0.0,10
,0.0,18.0,,,,2.0,1.0,,1.0,3.0,,1.0,2.0,3.0,,,,,0.0,1.0,,1.0,,4.0,,1.0,3.0,5.0,,10
,0.0,17.0,,,0.0,2.0,1.0,,1.0,0.0,,3.0,1.0,0.0,,,,,0.0,0.0,,0.0,3.0,2.0,2.0,1.0,2.0,5.0,,11
,,15.0,,,,1.0,1.0,0.0,1.0,0.0,,3.0,1.0,0.0,,,,,1.0,0.0,,1.0,,3.0,,1.0,2.0,4.0,,11
,,17.0,,,,2.0,2.0,,1.0,0.0,,1.0,1.0,0.0,,,,,0.0,0.0,,1.0,3.0,4.0,,1.0,3.0,5.0,,13
,,16.0,,,0.0,3.0,4.0,,1.0,0.0,,1.0,1.0,0.0,,0.0,,,0.0,0.0,,0.0,3.0,2.0,1.0,1.0,4.0,5.0,,15
,,16.0,,,,2.0,1.0,0.0,1.0,0.0,,4.0,1.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,,9
,,16.0,,,0.0,2.0,2.0,,1.0,2.0,,1.0,1.0,1.0,,0.0,,,0.0,0.0,0.0,0.0,,3.0,,1.0,1.0,5.0,,13
,,15.0,,,,3.0,4.0,0.0,0.0,0.0,,4.0,2.0,0.0,,,,,0.0,0.0,0.0,1.0,,3.0,,1.0,1.0,5.0,,12
,,15.0,0.0,,,4.0,4.0,,4.0,0.0,,1.0,3.0,0.0,,,,,0.0,0.0,,1.0,,3.0,,1.0,1.0,5.0,,13
,,17.0,,,,3.0,4.0,0.0,1.0,0.0,,3.0,2.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,4.0,,2.0,4.0,5.0,,10
,,16.0,,,,1.0,1.0,0.0,1.0,0.0,,4.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,,1.0,,1.0,1.0,3.0,0.0,14
,,18.0,,,,3.0,1.0,,2.0,0.0,,2.0,1.0,0.0,,0.0,,,0.0,0.0,,1.0,3.0,3.0,,4.0,5.0,4.0,,11
