wife_age,wife_edu,husband_edu,num_children,wife_religion,wife_working,husband_occupation,standard_of_living_index,media_exposure,target
24.0,2.0,3.0,3.0,1.0,,2.0,3.0,0.0,1
,1.0,3.0,10.0,1.0,,3.0,,,1
,2.0,3.0,7.0,1.0,,3.0,,,1
,3.0,2.0,9.0,1.0,,3.0,,,1
,3.0,3.0,8.0,1.0,,3.0,2.0,,1
19.0,4.0,4.0,0.0,1.0,,3.0,,,1
,2.0,3.0,6.0,1.0,,3.0,2.0,,1
21.0,3.0,3.0,1.0,1.0,0.0,3.0,2.0,,1
27.0,2.0,3.0,3.0,1.0,,3.0,,,1
,1.0,1.0,8.0,1.0,,2.0,2.0,,1
,1.0,3.0,2.0,1.0,0.0,3.0,,,1
,1.0,4.0,4.0,1.0,,1.0,,,1
,4.0,4.0,1.0,1.0,0.0,1.0,,,1
,2.0,4.0,1.0,1.0,0.0,3.0,,,1
,3.0,4.0,2.0,1.0,,2.0,,,1
26.0,2.0,4.0,0.0,1.0,,4.0,1.0,,1
,1.0,1.0,7.0,1.0,,2.0,,,1
,2.0,2.0,6.0,1.0,,2.0,,,1
,2.0,2.0,8.0,1.0,,2.0,,,1
,2.0,1.0,5.0,1.0,,2.0,1.0,,1
26.0,3.0,4.0,1.0,1.0,0.0,4.0,1.0,,1
24.0,3.0,4.0,0.0,1.0,0.0,3.0,1.0,,1
,4.0,4.0,1.0,0.0,,1.0,,,1
,4.0,4.0,1.0,1.0,,1.0,,,1
,4.0,4.0,5.0,1.0,,1.0,,,1
,2.0,4.0,8.0,1.0,,3.0,,,1
,4.0,4.0,1.0,1.0,0.0,1.0,,,1
,4.0,4.0,0.0,1.0,0.0,1.0,,,1
24.0,4.0,4.0,0.0,1.0,0.0,2.0,2.0,,1
,1.0,2.0,8.0,1.0,,2.0,,,1
,3.0,4.0,2.0,1.0,,1.0,,,1
,4.0,4.0,2.0,1.0,,3.0,2.0,,1
26.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,,1
,2.0,2.0,2.0,1.0,,3.0,1.0,,1
24.0,2.0,3.0,1.0,1.0,,3.0,,,1
,1.0,3.0,9.0,1.0,,3.0,2.0,,1
,1.0,2.0,8.0,1.0,0.0,3.0,1.0,,1
25.0,3.0,3.0,4.0,1.0,,3.0,2.0,,1
,2.0,2.0,3.0,1.0,,3.0,,,1
,2.0,2.0,1.0,1.0,,2.0,,,1
,1.0,1.0,3.0,1.0,,3.0,1.0,,1
,2.0,3.0,0.0,1.0,0.0,1.0,,,1
,2.0,4.0,2.0,1.0,,1.0,,,1
,4.0,4.0,2.0,0.0,,1.0,,,1
,2.0,2.0,1.0,1.0,,3.0,2.0,,1
25.0,1.0,4.0,1.0,1.0,,2.0,1.0,,1
,4.0,4.0,2.0,1.0,,2.0,,,1
,4.0,4.0,0.0,1.0,,2.0,,,1
26.0,4.0,4.0,1.0,1.0,,1.0,,,1
26.0,4.0,4.0,0.0,1.0,0.0,1.0,,,1
,4.0,4.0,0.0,1.0,0.0,1.0,,,1
,4.0,4.0,7.0,0.0,,2.0,,,1
,3.0,4.0,8.0,1.0,,3.0,,,1
,4.0,4.0,1.0,0.0,0.0,2.0,,,1
,2.0,4.0,5.0,1.0,,2.0,,,1
20.0,2.0,2.0,2.0,1.0,,2.0,2.0,,1
,4.0,4.0,5.0,1.0,0.0,1.0,,,1
,3.0,4.0,7.0,1.0,,2.0,1.0,,1
21.0,2.0,3.0,0.0,1.0,,3.0,,,1
,4.0,4.0,6.0,1.0,,1.0,2.0,,1
,3.0,3.0,10.0,1.0,,3.0,,,1
20.0,2.0,3.0,1.0,1.0,,2.0,,,1
,1.0,2.0,2.0,1.0,0.0,1.0,,,1
22.0,2.0,3.0,1.0,1.0,,2.0,1.0,,1
27.0,2.0,4.0,1.0,1.0,0.0,1.0,,,1
24.0,2.0,4.0,1.0,1.0,,3.0,1.0,,1
,4.0,2.0,8.0,1.0,,3.0,,,1
,2.0,3.0,3.0,1.0,,3.0,1.0,,1
23.0,3.0,4.0,2.0,1.0,,3.0,,,1
25.0,4.0,4.0,1.0,1.0,0.0,3.0,,,1
,2.0,3.0,4.0,1.0,,2.0,,,1
,2.0,3.0,8.0,1.0,,1.0,,,1
,2.0,3.0,1.0,1.0,,1.0,1.0,,1
,2.0,3.0,1.0,1.0,,1.0,2.0,,1
21.0,3.0,4.0,0.0,1.0,,2.0,,,1
21.0,3.0,4.0,1.0,1.0,,2.0,,,1
,4.0,4.0,0.0,1.0,0.0,2.0,,,1
,3.0,4.0,3.0,1.0,,1.0,,,1
,2.0,3.0,2.0,1.0,,3.0,2.0,,1
,4.0,4.0,1.0,1.0,0.0,1.0,,,1
24.0,4.0,4.0,0.0,0.0,,1.0,,,1
,4.0,4.0,6.0,0.0,0.0,1.0,,,1
24.0,2.0,4.0,1.0,1.0,0.0,4.0,,,1
,4.0,4.0,0.0,0.0,0.0,1.0,,,1
,4.0,4.0,2.0,1.0,,1.0,,,1
,4.0,4.0,2.0,1.0,,1.0,,,1
25.0,4.0,4.0,1.0,1.0,,1.0,,,1
,4.0,4.0,3.0,0.0,,1.0,,,1
27.0,2.0,4.0,4.0,1.0,,1.0,,,1
24.0,2.0,2.0,3.0,1.0,0.0,2.0,1.0,,1
25.0,2.0,3.0,0.0,1.0,,2.0,1.0,,1
,2.0,4.0,6.0,1.0,,1.0,,,1
26.0,2.0,2.0,3.0,1.0,,2.0,1.0,,1
,2.0,2.0,1.0,1.0,0.0,3.0,2.0,,1
,1.0,2.0,3.0,1.0,,1.0,,,1
,1.0,3.0,10.0,1.0,,2.0,,,1
,2.0,3.0,1.0,1.0,0.0,2.0,,,1
,4.0,4.0,5.0,1.0,,2.0,1.0,,1
17.0,2.0,2.0,3.0,1.0,,3.0,1.0,,1
27.0,2.0,3.0,5.0,1.0,,2.0,1.0,,1
27.0,1.0,2.0,4.0,1.0,,3.0,1.0,,1
19.0,2.0,3.0,0.0,1.0,0.0,2.0,2.0,,1
27.0,2.0,4.0,3.0,1.0,0.0,3.0,2.0,,1
26.0,4.0,3.0,4.0,1.0,,2.0,,,1
23.0,2.0,4.0,2.0,1.0,,3.0,,,1
,3.0,3.0,3.0,1.0,,3.0,2.0,,1
22.0,4.0,4.0,0.0,1.0,,1.0,1.0,,1
,3.0,4.0,4.0,1.0,0.0,1.0,,,1
,2.0,3.0,2.0,1.0,,3.0,1.0,,1
26.0,2.0,3.0,3.0,1.0,,3.0,1.0,,1
,4.0,4.0,1.0,1.0,0.0,3.0,,,1
,3.0,3.0,7.0,1.0,0.0,2.0,,,1
21.0,4.0,4.0,1.0,1.0,,1.0,,,1
,2.0,2.0,4.0,1.0,,3.0,,,1
21.0,3.0,4.0,0.0,1.0,,1.0,,,1
,4.0,4.0,1.0,1.0,,1.0,,,1
,4.0,4.0,3.0,0.0,0.0,3.0,,,1
,3.0,4.0,1.0,1.0,,1.0,,,1
,4.0,3.0,5.0,1.0,,2.0,,,1
26.0,2.0,3.0,2.0,1.0,,3.0,,,1
,1.0,2.0,1.0,1.0,,2.0,,,1
,2.0,3.0,5.0,1.0,,2.0,,,1
26.0,3.0,4.0,2.0,1.0,,3.0,,,1
20.0,2.0,3.0,1.0,0.0,,3.0,2.0,,1
,2.0,1.0,3.0,1.0,0.0,3.0,2.0,,1
,3.0,4.0,2.0,1.0,,1.0,2.0,,1
,4.0,4.0,1.0,1.0,,1.0,,,1
,2.0,3.0,2.0,1.0,,3.0,2.0,,1
,1.0,3.0,2.0,1.0,0.0,2.0,2.0,,1
25.0,3.0,4.0,0.0,1.0,,1.0,,,1
,3.0,4.0,3.0,1.0,,3.0,1.0,,1
,4.0,4.0,0.0,0.0,0.0,1.0,,,1
,1.0,2.0,8.0,1.0,,3.0,1.0,,1
,3.0,4.0,1.0,1.0,,3.0,1.0,,1
26.0,4.0,4.0,1.0,1.0,,1.0,,,1
26.0,3.0,3.0,3.0,1.0,0.0,2.0,,,1
24.0,4.0,4.0,2.0,1.0,,3.0,,,1
21.0,3.0,3.0,2.0,1.0,,2.0,2.0,,1
,4.0,4.0,2.0,0.0,,3.0,1.0,,1
20.0,4.0,4.0,1.0,1.0,,1.0,,,1
,4.0,4.0,2.0,1.0,,1.0,,,1
,4.0,4.0,0.0,0.0,0.0,3.0,,,1
,4.0,4.0,1.0,1.0,0.0,1.0,,,1
,4.0,4.0,2.0,0.0,,3.0,,,1
,2.0,4.0,2.0,1.0,,3.0,,,1
,4.0,4.0,3.0,1.0,,1.0,,,1
,4.0,4.0,4.0,1.0,,2.0,,,1
,4.0,4.0,2.0,1.0,,1.0,,,1
,4.0,4.0,1.0,1.0,0.0,1.0,,,1
,4.0,4.0,5.0,1.0,,1.0,,,1
,4.0,4.0,3.0,1.0,,2.0,,,1
21.0,1.0,3.0,4.0,1.0,,3.0,2.0,,1
,3.0,4.0,2.0,1.0,,1.0,,,1
23.0,4.0,4.0,2.0,1.0,,2.0,,,1
,1.0,2.0,4.0,1.0,,2.0,2.0,,1
,1.0,1.0,7.0,1.0,,2.0,,,1
,4.0,4.0,2.0,1.0,0.0,2.0,,,1
