pclass,age,sibsp,parch,fare
3.0,22.0,1.0,0,7.25
1.0,38.0,1.0,0,71.2833
3.0,26.0,0.0,0,7.925
1.0,35.0,1.0,0,53.1
3.0,35.0,,0,8.05
1.0,54.0,0.0,0,51.8625
,,,1,21.075
3.0,27.0,0.0,2,11.1333
,,1.0,0,30.0708
,,,1,16.7
,,0.0,0,26.55
3.0,20.0,,0,8.05
,,1.0,5,31.275
3.0,14.0,,0,7.8542
,,0.0,0,16.0
,,4.0,1,29.125
,,1.0,0,18.0
,,0.0,0,26.0
2.0,34.0,,0,13.0
3.0,15.0,0.0,0,8.0292
,,,0,35.5
,,3.0,1,21.075
,,1.0,5,31.3875
1.0,19.0,3.0,2,263.0
,,,0,27.7208
2.0,66.0,,0,10.5
1.0,28.0,,0,82.1708
1.0,42.0,,0,52.0
3.0,21.0,0.0,0,8.05
,,,0,18.0
3.0,14.0,1.0,0,11.2417
3.0,40.0,,0,9.475
,,1.0,0,21.0
,,1.0,2,41.5792
3.0,19.0,0.0,0,7.8792
,,1.0,0,17.8
,,4.0,1,39.6875
3.0,21.0,,0,7.8
1.0,49.0,1.0,0,76.7292
,,1.0,0,26.0
1.0,65.0,0.0,1,61.9792
2.0,21.0,0.0,0,10.5
3.0,28.5,0.0,0,7.2292
,,1.0,2,27.75
,,5.0,2,46.9
3.0,22.0,,0,7.2292
1.0,45.0,,0,83.475
,,3.0,2,27.9
2.0,29.0,,0,10.5
3.0,19.0,,0,8.1583
3.0,17.0,4.0,2,7.925
3.0,26.0,2.0,0,8.6625
2.0,32.0,,0,10.5
,,5.0,2,46.9
2.0,21.0,,0,73.5
3.0,26.0,,0,14.4542
3.0,32.0,0.0,0,56.4958
3.0,25.0,,0,7.65
,,0.0,2,29.0
3.0,30.0,,0,12.475
3.0,22.0,,0,9.0
3.0,29.0,,0,9.5
1.0,28.0,0.0,0,47.1
2.0,17.0,,0,10.5
,,3.0,0,15.85
,,1.0,3,34.375
1.0,23.0,3.0,2,263.0
3.0,24.0,,0,8.05
3.0,29.0,,0,8.05
3.0,20.0,,0,7.8542
1.0,46.0,1.0,0,61.175
,,1.0,2,20.575
3.0,59.0,0.0,0,7.25
,,,0,34.6542
1.0,23.0,,1,63.3583
,,0.0,1,23.0
,,,0,26.0
3.0,28.0,0.0,0,7.8958
1.0,21.0,,1,77.2875
3.0,33.0,,0,8.6542
3.0,37.0,,0,7.925
3.0,28.0,0.0,0,7.8958
3.0,21.0,,0,7.65
3.0,38.0,,0,7.8958
1.0,47.0,0.0,0,52.0
3.0,14.5,,0,14.4542
3.0,22.0,0.0,0,8.05
3.0,20.0,,0,9.825
3.0,17.0,,0,14.4583
3.0,21.0,0.0,0,7.925
3.0,70.5,,0,7.75
,,1.0,0,21.0
1.0,24.0,,1,247.5208
,,4.0,2,31.275
2.0,21.0,2.0,0,73.5
,,1.0,0,30.0708
2.0,32.5,,0,13.0
1.0,54.0,0.0,1,77.2875
3.0,12.0,1.0,0,11.2417
3.0,24.0,,0,7.1417
3.0,45.0,,0,6.975
3.0,33.0,,0,7.8958
3.0,20.0,0.0,0,7.05
3.0,47.0,,0,14.5
,,,0,26.0
2.0,25.0,,0,13.0
2.0,23.0,,0,15.0458
,,0.0,2,26.2833
1.0,37.0,,0,53.1
3.0,16.0,,0,9.2167
1.0,24.0,0.0,0,79.2
3.0,22.0,0.0,0,7.75
,,1.0,0,15.85
3.0,19.0,0.0,0,6.75
2.0,18.0,,0,11.5
,,,1,36.75
3.0,27.0,,0,7.7958
,,2.0,2,34.375
,,0.0,2,26.0
2.0,42.0,0.0,0,13.0
2.0,51.0,0.0,0,12.525
1.0,22.0,1.0,0,66.6
3.0,55.5,,0,8.05
3.0,40.5,0.0,2,14.5
1.0,51.0,0.0,1,61.3792
3.0,16.0,,0,7.7333
3.0,30.0,0.0,0,8.05
,,0.0,1,16.1
,,0.0,0,15.75
3.0,26.0,0.0,0,7.775
3.0,17.0,0.0,0,8.6625
,,4.0,1,39.6875
,,0.0,2,20.525
,,1.0,4,27.9
3.0,28.0,0.0,0,56.4958
,,0.0,0,33.5
,,4.0,1,29.125
3.0,1.0,1.0,1,11.1333
3.0,21.0,,0,7.925
,,,0,30.6958
3.0,18.0,1.0,1,7.8542
,,0.0,0,28.7125
2.0,30.0,0.0,0,13.0
3.0,36.0,,0,0.0
,,4.0,2,31.3875
,,2.0,1,39.0
,,0.0,2,22.025
,,,0,26.55
3.0,40.0,1.0,1,15.5
3.0,36.0,,0,7.8958
2.0,32.0,0.0,0,13.0
2.0,19.0,,0,13.0
3.0,19.0,1.0,0,7.8542
,,,1,26.0
,,0.0,0,27.7208
1.0,58.0,,0,146.5208
3.0,42.0,0.0,1,8.4042
2.0,24.0,,0,13.0
3.0,28.0,,0,9.5
3.0,34.0,,0,6.4958
3.0,45.5,,0,7.225
3.0,18.0,0.0,0,8.05
3.0,2.0,0.0,1,10.4625
,,1.0,0,15.85
,,,0,18.7875
3.0,16.0,,0,7.75
,,,0,31.0
3.0,24.0,0.0,0,7.05
,,,0,21.0
3.0,22.0,,0,7.25
2.0,30.0,0.0,0,13.0
1.0,31.0,1.0,0,113.275
3.0,27.0,,0,7.925
,,,0,27.0
1.0,32.0,0.0,0,76.2917
2.0,30.0,,0,10.5
3.0,16.0,,0,8.05
2.0,27.0,0.0,0,13.0
3.0,51.0,0.0,0,8.05
1.0,38.0,,0,90.0
3.0,22.0,0.0,0,9.35
2.0,19.0,,0,10.5
3.0,20.5,0.0,0,7.25
2.0,18.0,,0,13.0
1.0,35.0,1.0,0,83.475
3.0,29.0,0.0,0,7.775
2.0,59.0,,0,13.5
,,4.0,2,31.3875
2.0,24.0,0.0,0,10.5
,,1.0,0,26.0
,,0.0,2,26.25
2.0,19.0,,0,10.5
2.0,33.0,0.0,0,12.275
2.0,29.0,0.0,0,10.5
3.0,22.0,,0,7.125
3.0,30.0,0.0,0,7.225
1.0,44.0,2.0,0,90.0
3.0,25.0,,0,7.775
2.0,24.0,0.0,2,14.5
1.0,37.0,1.0,1,52.5542
,,,0,26.0
3.0,29.0,1.0,1,10.4625
,,0.0,0,26.55
,,,0,16.1
,,0.0,2,20.2125
3.0,29.0,0.0,2,15.2458
1.0,30.0,0.0,0,86.5
1.0,35.0,,0,512.3292
,,0.0,1,26.0
,,4.0,2,31.3875
1.0,52.0,1.0,1,79.65
1.0,40.0,,0,0.0
2.0,36.0,0.0,0,10.5
,,4.0,1,39.6875
3.0,25.0,1.0,0,7.775
1.0,58.0,0.0,1,153.4625
1.0,35.0,,0,135.6333
3.0,25.0,,0,0.0
,,0.0,1,19.5
,,0.0,1,29.7
1.0,63.0,,0,77.9583
3.0,45.0,,0,7.75
,,4.0,1,29.125
,,1.0,1,20.25
3.0,65.0,0.0,0,7.75
3.0,28.0,0.0,0,7.8542
3.0,16.0,0.0,0,9.5
3.0,19.0,0.0,0,8.05
3.0,33.0,,0,8.6625
3.0,30.0,0.0,0,9.5
3.0,22.0,0.0,0,7.8958
2.0,42.0,,0,13.0
3.0,22.0,0.0,0,7.75
1.0,26.0,,0,78.85
1.0,19.0,1.0,0,91.0792
2.0,36.0,0.0,0,12.875
3.0,24.0,,0,8.85
3.0,24.0,0.0,0,7.8958
3.0,23.5,0.0,0,7.2292
1.0,2.0,1.0,2,151.55
1.0,50.0,0.0,1,247.5208
3.0,19.0,,0,0.0
1.0,0.92,1.0,2,151.55
1.0,17.0,,0,108.9
,,1.0,0,24.0
1.0,30.0,,0,56.9292
1.0,24.0,0.0,0,83.1583
1.0,18.0,2.0,2,262.375
,,1.0,1,26.0
3.0,28.0,,0,7.8958
,,1.0,1,26.25
3.0,26.0,,0,7.8542
,,,0,26.0
2.0,54.0,,0,14.0
1.0,31.0,0.0,2,164.8667
1.0,40.0,1.0,1,134.5
