pclass,age,sibsp,parch,fare
,,,0.0,
,38.0,1.0,,71.2833
,26.0,,0.0,7.925
1.0,,,,53.1
3.0,,0.0,0.0,8.05
1.0,54.0,,0.0,
3.0,2.0,,,21.075
3.0,,0.0,,11.1333
2.0,14.0,,,30.0708
3.0,4.0,1.0,,16.7
1.0,,0.0,,26.55
,20.0,0.0,0.0,8.05
3.0,39.0,1.0,5.0,
3.0,,0.0,0.0,
,55.0,0.0,0.0,16.0
,,4.0,1.0,
,31.0,,,
2.0,,0.0,0.0,26.0
2.0,,0.0,,13.0
,,0.0,,8.0292
,28.0,,0.0,35.5
3.0,8.0,,1.0,21.075
3.0,,1.0,,31.3875
,19.0,,2.0,
,,0.0,0.0,27.7208
,66.0,0.0,,10.5
,,1.0,0.0,82.1708
,42.0,1.0,,52.0
,21.0,0.0,0.0,8.05
3.0,,2.0,,18.0
3.0,,1.0,,
3.0,40.0,,,
2.0,27.0,,0.0,21.0
2.0,3.0,1.0,2.0,41.5792
3.0,19.0,0.0,0.0,7.8792
3.0,18.0,,,
,7.0,4.0,1.0,
,,0.0,0.0,
1.0,49.0,1.0,,76.7292
2.0,,,0.0,26.0
1.0,65.0,0.0,,61.9792
2.0,21.0,,0.0,10.5
3.0,28.5,0.0,0.0,7.2292
,,,2.0,
,11.0,,2.0,46.9
,22.0,0.0,,7.2292
1.0,,,,
3.0,4.0,,,
,29.0,0.0,,
,19.0,0.0,,
3.0,17.0,4.0,2.0,7.925
,,,,8.6625
,,,0.0,10.5
3.0,16.0,5.0,2.0,46.9
2.0,21.0,0.0,0.0,
3.0,26.0,,0.0,
3.0,,0.0,0.0,56.4958
,25.0,0.0,0.0,
2.0,0.83,0.0,,29.0
3.0,,0.0,0.0,12.475
,,0.0,,9.0
,29.0,0.0,0.0,9.5
,28.0,,,
2.0,,,0.0,10.5
3.0,33.0,3.0,,
3.0,16.0,1.0,3.0,34.375
,23.0,3.0,2.0,263.0
3.0,,,0.0,8.05
,29.0,0.0,0.0,
3.0,20.0,,,7.8542
1.0,46.0,1.0,0.0,
3.0,,,2.0,20.575
,,0.0,,
1.0,71.0,0.0,,34.6542
1.0,23.0,,1.0,63.3583
2.0,,0.0,,
2.0,,1.0,0.0,26.0
3.0,28.0,0.0,,7.8958
,21.0,0.0,,77.2875
,33.0,0.0,0.0,
,37.0,2.0,0.0,
,28.0,0.0,,7.8958
,21.0,0.0,0.0,7.65
3.0,38.0,0.0,0.0,
,47.0,0.0,0.0,
3.0,,,0.0,
,22.0,,0.0,8.05
3.0,20.0,1.0,,9.825
3.0,,0.0,0.0,14.4583
3.0,,,,7.925
,70.5,,,7.75
2.0,29.0,,,21.0
1.0,,0.0,,247.5208
3.0,,4.0,2.0,31.275
2.0,,2.0,0.0,
2.0,,,0.0,30.0708
2.0,32.5,0.0,,
1.0,,0.0,1.0,77.2875
3.0,,1.0,0.0,11.2417
,,,0.0,7.1417
3.0,,0.0,0.0,6.975
3.0,,0.0,0.0,7.8958
,20.0,,0.0,
3.0,47.0,1.0,0.0,
2.0,29.0,,0.0,
2.0,,0.0,0.0,13.0
2.0,23.0,0.0,,15.0458
1.0,19.0,0.0,2.0,26.2833
,,1.0,,
3.0,16.0,,0.0,9.2167
,,,0.0,
3.0,22.0,,,
3.0,24.0,1.0,,
3.0,,,,
2.0,,,,
,,,1.0,36.75
,27.0,0.0,,7.7958
,9.0,2.0,2.0,34.375
2.0,36.5,,2.0,26.0
,42.0,,0.0,
2.0,,,,12.525
,22.0,,,
3.0,55.5,0.0,0.0,8.05
,40.5,0.0,2.0,14.5
,51.0,,1.0,
3.0,16.0,0.0,0.0,
,,0.0,0.0,
,,0.0,,
,40.0,,,
3.0,,,0.0,7.775
3.0,17.0,0.0,0.0,
3.0,,,,
